M,52,5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,52,5,60,52,42,6,48.7524,33,15,6,8
M,56,5.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,56,5.5,60,56,42,6,52.4276,33,15,6,8
M,60,5.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,60,5.5,60,60,42,6,56.4276,33,15,6,8
M,64,6,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,64,6,60,64,42,6,60.1029,33,15,6,8
M,68,6,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,68,6,60,68,42,6,64.1029,33,15,6,8
M,1.2,0.25,NP,4H,정지 나사 플러그 게이지,미터 보통 나사,1.2,0.25,60,1.136,6,-6,1.0826,6,0,5,48
M,1.4,0.3,NP,4H,정지 나사 플러그 게이지,미터 보통 나사,1.4,0.3,60,1.316,6,-6,1.2531,6,0,5,40
M,1.2,0.25,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,1.2,0.25,60,1.147,6,-6,1.0936,6,0,5,48
M,1.4,0.3,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,1.4,0.3,60,1.328,6,-6,1.2651,6,0,5,40
M,1.6,0.35,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,1.6,0.35,60,1.513,6,-6,1.4397,6,0,5,35
M,1.8,0.35,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,1.8,0.35,60,1.713,6,-6,1.6397,6,0,5,35
M,2,0.4,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,2,0.4,60,1.894,6,-6,1.8112,6,0,5,31
M,2.2,0.45,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,2.2,0.45,60,2.076,6,-6,1.9827,6,0,5,26
M,2.5,0.45,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,2.5,0.45,60,2.376,6,-6,2.2827,6,0,5,26
M,3,0.5,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,3,0.5,60,2.858,6,-6,2.7552,6,0,5,25
M,3.5,0.6,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,3.5,0.6,60,3.324,8,-8,3.2003,8,0,5,21
M,4,0.7,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,4,0.7,60,3.784,8,-8,3.6403,8,0,5,18
M,4.5,0.75,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,4.5,0.75,60,4.262,8,-8,4.1079,8,0,5,17
M,5,0.8,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,5,0.8,60,4.744,8,-8,4.5804,8,0,5,16
M,6,1,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,6,1,60,5.672,8,-8,5.4685,8,0,5,16
M,7,1,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,7,1,60,6.672,8,-8,6.4685,8,0,5,16
M,8,1.25,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,8,1.25,60,7.567,8,-8,7.3131,8,0,5,16
M,9,1.25,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,9,1.25,60,8.567,8,-8,8.3131,8,0,5,16
M,10,1.5,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,10,1.5,60,9471,10,-10,9.1657,10,0,5,16
M,11,1.5,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,11,1.5,60,10.471,10,-10,10.1657,10,0,5,16
M,12,1.75,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,12,1.75,60,11.378,10,-10,11.0233,10,0,5,16
M,14,2,NP,5H,정지 나사 플러그 게이지,미터 보통 나사,14,2,60,13.296,10,-10,12.871,10,0,5,14
